iter	MultiClass
0	1.005041081
1	0.9322632637
2	0.8566678443
3	0.8005041469
4	0.7528939637
5	0.7147053816
6	0.6795267896
7	0.6409806278
8	0.6104957358
9	0.5834108749
10	0.5608976223
11	0.5337675358
12	0.5133096525
13	0.490810579
14	0.4719122617
15	0.4539764423
16	0.438547145
17	0.4223648134
18	0.4117221082
19	0.396261969
20	0.3840346614
21	0.3711703052
22	0.3593444238
23	0.3478640316
24	0.3394758337
25	0.3311585027
26	0.3219125135
27	0.314418777
28	0.3081125181
29	0.30103761
30	0.2938137246
31	0.2852912768
32	0.2780754532
33	0.2729498275
34	0.2645457822
35	0.2613320627
36	0.2568486507
37	0.2520510923
38	0.246364147
39	0.242707218
40	0.2410310528
41	0.2378279168
42	0.2338073911
43	0.2275212523
44	0.2240007176
45	0.2216725467
46	0.2195462386
47	0.2165757064
48	0.212390352
49	0.2101549364
50	0.2067731552
51	0.2045513899
52	0.2018606311
53	0.1973916159
54	0.1934265152
55	0.188972552
56	0.1869993988
57	0.1818935864
58	0.1798502138
59	0.1776287129
60	0.1741579147
61	0.1710123264
62	0.1682128279
63	0.1663375174
64	0.1644347689
65	0.163093398
66	0.1602093008
67	0.1579667946
68	0.1556286888
69	0.1542503511
70	0.1525389767
71	0.150968139
72	0.1479982568
73	0.1458652398
74	0.1433968114
75	0.1413545168
76	0.1402681593
77	0.1376935217
78	0.1356507578
79	0.133442428
80	0.131722918
81	0.1308388663
82	0.1289059041
83	0.1272153016
84	0.1264594003
85	0.1257377685
86	0.1239277242
87	0.1220605003
88	0.1211712417
89	0.1196367484
90	0.1177095276
91	0.1167698773
92	0.1151552606
93	0.1145213729
94	0.1135768916
95	0.1123382602
96	0.1111343987
97	0.1097498918
98	0.1073713353
99	0.1054697625
100	0.104444281
101	0.1038677435
102	0.1030230918
103	0.1022657987
104	0.1011147356
105	0.1008404957
106	0.1000365876
107	0.09923134933
108	0.0978610697
109	0.09724559451
110	0.09622268639
111	0.09576189412
112	0.09477595688
113	0.09400329743
114	0.09300507668
115	0.09186385082
116	0.09152058991
117	0.09064061608
118	0.0899524612
119	0.08936922692
120	0.08872798306
121	0.08822763943
122	0.08780485259
123	0.08735909398
124	0.08646836246
125	0.08545984962
126	0.08489222281
127	0.08450572539
128	0.08301586262
129	0.08246077293
130	0.08131854149
131	0.08111728339
132	0.08020959259
133	0.07976038707
134	0.07938501016
135	0.07868099699
136	0.07797615358
137	0.07738589175
138	0.07692839426
139	0.07614603348
140	0.07552651676
141	0.07473041122
142	0.07375942028
143	0.07332291618
144	0.07246562539
145	0.07177518591
146	0.07147906854
147	0.0711055185
148	0.07067228131
149	0.07036532697
150	0.06938855372
151	0.06874192903
152	0.06828133695
153	0.06791601311
154	0.06753246194
155	0.06715928947
156	0.06651210872
157	0.06605592976
158	0.06552787971
159	0.06518735232
160	0.06474731656
161	0.06460879868
162	0.0642566629
163	0.06392078553
164	0.06338008987
165	0.06275117471
166	0.06256685062
167	0.06217109389
168	0.06162409581
169	0.06102284447
170	0.06039764546
171	0.0601330887
172	0.0598610078
173	0.05939549582
174	0.059102584
175	0.05842657033
176	0.05780426331
177	0.05763662408
178	0.05716184479
179	0.05691571012
180	0.05665217095
181	0.05651221536
182	0.05599138383
183	0.0556876964
184	0.05554283128
185	0.05520959714
186	0.05480930807
187	0.05456767657
188	0.05397590031
189	0.05383137249
190	0.05364382402
191	0.05346202896
192	0.0529074891
193	0.0526142089
194	0.05225668686
195	0.05199370246
196	0.05162450541
197	0.05141804006
198	0.05099582811
199	0.05060889301
