subject,n_folds,f1_macro_mean,f1_macro_std,accuracy,auroc_macro,generalization_gap,phase_c_accuracy,accuracy_improvement_vs_c
9,1,1.0,,1.0,1.0,0.0,,
15,1,0.9798639455782312,,0.9873417721518988,0.9988344988344988,0.0201360544217686,,
16,1,0.983638256730626,,0.9873417721518988,0.9993969993969994,0.0163617432693738,,
5,1,0.9023199023199024,,0.9367088607594936,0.9851240490775376,0.0976800976800976,,
6,1,0.8951953178167958,,0.9102564102564102,0.9726876637133048,0.1048046821832041,,
8,1,0.822866344605475,,0.8987341772151899,0.9692754692754691,0.1771336553945249,,
10,1,0.6125116713352007,,0.8271604938271605,0.978812037635567,0.3874883286647993,,
7,1,0.7760146009623362,,0.8205128205128205,0.913608968346984,0.2239853990376638,,
4,1,0.6103036175710593,,0.8157894736842105,0.8540655369923663,0.3896963824289406,,
2,1,0.6600582769805926,,0.7894736842105263,0.9515063677665304,0.3399417230194074,,
11,1,0.7341757193622175,,0.7721518987341772,0.9884508134508136,0.2658242806377825,,
13,1,0.562962962962963,,0.759493670886076,0.9032124032124031,0.437037037037037,,
3,1,0.7037269791393909,,0.7012987012987013,0.8775246002181315,0.2962730208606091,,
14,1,0.4621628698612202,,0.6329113924050633,0.8811815061815061,0.5378371301387799,,
17,1,0.3902635878659029,,0.4320987654320987,0.6857236445471738,0.6097364121340971,,
