f1_macro,auroc_macro,pr_auc_macro,fold_id,test_subject,model,stage
0.6125116713352007,0.9581148698795756,0.9099653831535761,0,10,voting_ensemble,pre_calibration
0.5827832783278327,0.9236395412866001,0.8458519769736292,0,10,voting_ensemble,post_calibration
0.7824105718842561,0.9776055026055026,0.9490091569363942,1,11,voting_ensemble,pre_calibration
0.6455532107325896,0.9761064761064762,0.95337563593282,1,11,voting_ensemble,post_calibration
0.5772491112934098,0.922997422997423,0.7800407514228261,2,13,voting_ensemble,pre_calibration
0.6219931271477663,0.9161686661686662,0.7766182045492153,2,13,voting_ensemble,post_calibration
0.5042735042735043,0.863978888978889,0.7476512261094479,3,14,voting_ensemble,pre_calibration
0.4499930642252739,0.7991166491166491,0.601776045184527,3,14,voting_ensemble,post_calibration
0.9588888888888888,1.0,0.9999999999999999,4,15,voting_ensemble,pre_calibration
0.9798639455782313,0.9984459984459985,0.9937782805429864,4,15,voting_ensemble,post_calibration
0.9388888888888888,1.0,0.9999999999999999,5,16,voting_ensemble,pre_calibration
0.9836382567306261,0.9987939987939988,0.9956785412957148,5,16,voting_ensemble,post_calibration
0.46490907809867865,0.7057925734396323,0.5167307716236006,6,17,voting_ensemble,pre_calibration
0.4767080745341615,0.7217248981954865,0.5701074483139706,6,17,voting_ensemble,post_calibration
0.6938090583251874,0.953566953973458,0.9016971837293216,7,2,voting_ensemble,pre_calibration
0.6030612244897959,0.9524981793274475,0.9125900285701091,7,2,voting_ensemble,post_calibration
0.6992234328402279,0.8712668048619356,0.8035994771249036,8,3,voting_ensemble,pre_calibration
0.6923162082684656,0.8489461855437024,0.745023515013853,8,3,voting_ensemble,post_calibration
0.5639316239316239,0.8795794990916942,0.7571616024926424,9,4,voting_ensemble,pre_calibration
0.5878546540567448,0.8853390511927097,0.7283675844683372,9,4,voting_ensemble,post_calibration
0.8805288032816123,0.98676237629726,0.9637731441140301,10,5,voting_ensemble,pre_calibration
0.8411152766282032,0.9951738614529312,0.9911774199464766,10,5,voting_ensemble,post_calibration
0.9041811846689894,0.9815054840695866,0.9420701903238354,11,6,voting_ensemble,pre_calibration
0.8656898656898657,0.9807165294344782,0.932390283544979,11,6,voting_ensemble,post_calibration
0.7090768395643486,0.8804076884344444,0.7878379951387826,12,7,voting_ensemble,pre_calibration
0.6987585034013605,0.8831189527677822,0.7979848299591711,12,7,voting_ensemble,post_calibration
0.8515519568151148,0.9665394665394665,0.9274211237817868,13,8,voting_ensemble,pre_calibration
0.791271347248577,0.9377086877086876,0.8717985163219532,13,8,voting_ensemble,post_calibration
1.0,1.0,1.0,14,9,voting_ensemble,pre_calibration
1.0,1.0,1.0,14,9,voting_ensemble,post_calibration
0.7213733358039662,0.9211665117027742,0.8477678873745161,mean,ALL,voting_ensemble,post_calibration
0.7427623076059954,0.9298745020779245,0.8657972003967431,mean,ALL,voting_ensemble,pre_calibration
