category,subject,accuracy,f1_macro,generalization_gap,vs_phase_c
Top 1,9.0,1.0,1.0,0.0,
Top 2,15.0,0.9873417721518988,0.9798639455782312,0.0201360544217686,
Top 3,16.0,0.9873417721518988,0.983638256730626,0.0163617432693738,
Bottom 1,3.0,0.7012987012987013,0.7037269791393909,0.2962730208606091,
Bottom 2,14.0,0.6329113924050633,0.4621628698612202,0.5378371301387799,
Bottom 3,17.0,0.4320987654320987,0.3902635878659029,0.6097364121340971,
