model,f1_macro_mean,f1_macro_std,f1_macro_count,auroc_macro_mean,auroc_macro_std,auroc_macro_count,pr_auc_macro_mean,pr_auc_macro_std,pr_auc_macro_count
logreg,0.5509737389831549,0.18603223383679462,32,0.8516947712961073,0.12221597045306873,32,0.7437634242055264,0.15910777313250524,32
logreg_shuffled,0.24065356570342664,0.10305084939619963,16,0.5383080432421491,0.10143087279446796,16,0.41714076082190044,0.08733634283415018,16
random_forest,0.7101590759908656,0.18751958755728684,32,0.915820484088178,0.08508186764559295,32,0.8418183980259528,0.14236226767792298,32
voting_ensemble,0.7320678217049809,0.1675313083498139,64,0.9255205068903494,0.07630713665017053,64,0.8567825438856297,0.12982442735407745,64
