f1_macro,auroc_macro,pr_auc_macro,fold_id,test_subject,model
0.7746501095147936,0.9639505374799492,0.8405580219222206,0,10,logreg
0.5616997326579428,0.9526981732864086,0.902014094789953,0,10,random_forest
0.7452440033085194,0.9274969774969776,0.8766049797774421,1,11,logreg
0.6564954410038819,0.9530571155571156,0.8909415169663598,1,11,random_forest
0.6886361947231512,0.8882253632253633,0.7518209644366621,2,13,logreg
0.5903212348769294,0.9084931584931585,0.7605608686037278,2,13,random_forest
0.45572498662386307,0.6684125184125184,0.4667447798962036,3,14,logreg
0.3458997279440342,0.7224723099723099,0.5240191108593814,3,14,random_forest
0.46078431372549017,0.7678627678627677,0.6611155298684955,4,15,logreg
0.9588888888888888,0.9988344988344989,0.9950320512820512,4,15,random_forest
0.5706959706959708,0.9706050706050706,0.9401063120330543,5,16,logreg
0.8506725903986178,0.9896357396357396,0.9701674282966635,5,16,random_forest
0.15360544217687075,0.5412990060048883,0.4108609774616206,6,17,logreg
0.3953247965853008,0.7373993109287227,0.5670197783718615,6,17,random_forest
0.547746761539865,0.9312632263851777,0.8730487005277968,7,2,logreg
0.7052504260816977,0.9555599173485353,0.910811683307255,7,2,random_forest
0.3966793937290292,0.7655625301491774,0.5745510724902707,8,3,logreg
0.7394871794871795,0.8673376794096349,0.8152818165130351,8,3,random_forest
0.6210526315789474,0.7406712528663748,0.623438104827189,9,4,logreg
0.5382441264794205,0.8645582060216207,0.7552941363814485,9,4,random_forest
0.44118731563421826,0.8815239454774338,0.788015519282733,10,5,logreg
0.8411152766282032,0.9785052372261674,0.9429846741999565,10,5,random_forest
0.46078431372549017,0.8758299155735053,0.7939025413811533,11,6,logreg
0.9644702842377261,0.9938970810765683,0.9823474786868708,11,6,random_forest
0.5214830214830215,0.9308266860106325,0.7713770831212923,12,7,logreg
0.7431884057971015,0.8625101311834867,0.7204503531934964,12,7,random_forest
0.43766060232295195,0.921891771891772,0.7843067760567616,13,8,logreg
0.7785829307568438,0.9523487023487024,0.8903509789372325,13,8,random_forest
0.9886710239651416,1.0,1.0,14,9,logreg
0.9827450980392157,1.0,1.0,14,9,random_forest
0.5509737389831549,0.8516947712961073,0.7437634242055264,mean,ALL,logreg
0.7101590759908656,0.915820484088178,0.8418183980259529,mean,ALL,random_forest
