model,f1_macro_mean,f1_macro_std,n_folds,accuracy_mean,accuracy_std,auroc_macro_mean,auroc_macro_std,pr_auc_macro_mean,pr_auc_macro_std,generalization_gap_mean,generalization_gap_std
ExtraTrees,0.6729120101371537,0.20372075429857486,15,0.786428741665991,0.1594286534424227,0.9085407138136913,0.08913315441787184,0.8152698701761053,0.14898173574539372,0.32708798986284626,0.20372075429857486
LogisticRegression,0.5509737389831549,0.19574470918005335,15,0.6357142661310253,0.1867506773831811,0.8517124199285764,0.128609865472232,0.7436244964887571,0.167696925185636,0.2884962823099241,0.20268110174074008
RandomForest,0.7101590759908656,0.19730971549891013,15,0.7953309064716275,0.15277431561489177,0.915820484088178,0.08952386957516818,0.8418183980259529,0.14979479690210712,0.28984092400913447,0.19730971549891013
XGBoost,0.7623035152968595,0.14476528305547545,15,0.8203894113250839,0.12150910952841683,0.9228877792078787,0.07454005471073563,0.8492924963933425,0.12868062515266324,0.2376964847031405,0.14476528305547548
