f1_macro,accuracy,auroc_macro,pr_auc_macro,fold_id,test_subject,model,stage,generalization_gap
0.8348987755764824,0.8486782133090246,0.9542528998673344,0.8787375383571233,0,10,LogisticRegression,train,0.06024866606168877
0.7746501095147936,0.7901234567901234,0.9639505374799492,0.8405580219222206,0,10,LogisticRegression,test,0.06024866606168877
1.0,1.0,1.0,1.0,0,10,RandomForest,train,0.4383002673420572
0.5616997326579428,0.7654320987654321,0.9526981732864086,0.902014094789953,0,10,RandomForest,test,0.4383002673420572
1.0,1.0,1.0,1.0,0,10,XGBoost,train,0.3369237729456044
0.6630762270543956,0.8395061728395061,0.9059110823816706,0.8129334192750775,0,10,XGBoost,test,0.3369237729456044
1.0,1.0,1.0,1.0,0,10,ExtraTrees,train,0.32738095238095244
0.6726190476190476,0.8518518518518519,0.9763520792932558,0.9405811942152859,0,10,ExtraTrees,test,0.32738095238095244
1.0,1.0,1.0,1.0,0,10,LightGBM,train,0.4172167216721673
0.5827832783278327,0.7901234567901234,0.8914865091335679,0.7753359704613937,0,10,LightGBM,test,0.4172167216721673
0.9992095261173866,0.9990884229717412,1.0,1.0,0,10,CatBoost,train,0.3772163989696202
0.6219931271477663,0.8395061728395061,0.9108070578658815,0.8285995769998321,0,10,CatBoost,test,0.3772163989696202
0.8298401683527419,0.8462238398544131,0.9543300356828596,0.8730098780257718,1,11,LogisticRegression,train,0.08459616504422252
0.7452440033085194,0.7341772151898734,0.9272824772824774,0.876335868301434,1,11,LogisticRegression,test,0.08459616504422252
1.0,1.0,1.0,1.0,1,11,RandomForest,train,0.3435045589961181
0.6564954410038819,0.7215189873417721,0.9530571155571156,0.8909415169663598,1,11,RandomForest,test,0.3435045589961181
1.0,1.0,1.0,1.0,1,11,XGBoost,train,0.25764790764790757
0.7423520923520924,0.7848101265822784,0.9686943686943686,0.9303732783148438,1,11,XGBoost,test,0.25764790764790757
1.0,1.0,1.0,1.0,1,11,ExtraTrees,train,0.2938119054623908
0.7061880945376092,0.7468354430379747,0.9793665418665419,0.9575199245381913,1,11,ExtraTrees,test,0.2938119054623908
1.0,1.0,1.0,1.0,1,11,LightGBM,train,0.2617970265029088
0.7382029734970912,0.7848101265822784,0.98992958992959,0.9737793575581657,1,11,LightGBM,test,0.2617970265029088
0.9987975547147833,0.9990900818926297,0.9999988911730724,0.9999990301302177,1,11,CatBoost,train,0.2607956873011511
0.7380018674136322,0.7721518987341772,0.9880792630792631,0.9762393488150519,1,11,CatBoost,test,0.2607956873011511
0.8421917497069361,0.8562329390354868,0.9575821849799353,0.8867436305602401,2,13,LogisticRegression,train,0.15355555498378493
0.6886361947231512,0.7088607594936709,0.8883993633993633,0.7518949051433591,2,13,LogisticRegression,test,0.15355555498378493
1.0,1.0,1.0,1.0,2,13,RandomForest,train,0.40967876512307055
0.5903212348769294,0.7974683544303798,0.9084931584931585,0.7605608686037278,2,13,RandomForest,test,0.40967876512307055
1.0,1.0,1.0,1.0,2,13,XGBoost,train,0.40688784395680944
0.5931121560431906,0.7468354430379747,0.9247733497733498,0.7965714101586497,2,13,XGBoost,test,0.40688784395680944
1.0,1.0,1.0,1.0,2,13,ExtraTrees,train,0.43501683501683497
0.564983164983165,0.7721518987341772,0.8451698451698452,0.6959747118284781,2,13,ExtraTrees,test,0.43501683501683497
1.0,1.0,1.0,1.0,2,13,LightGBM,train,0.4528201015771184
0.5471798984228816,0.7468354430379747,0.9194653694653695,0.7806302356558108,2,13,LightGBM,test,0.4528201015771184
0.9980101329319266,0.9981801637852593,0.9999988911730724,0.9999990301302177,2,13,CatBoost,train,0.4207610216385168
0.5772491112934098,0.7848101265822784,0.9218083718083717,0.771815022428814,2,13,CatBoost,test,0.4207610216385168
0.854368948306336,0.8707916287534122,0.9652686314469484,0.898762202423188,3,14,LogisticRegression,train,0.39864396168247296
0.45572498662386307,0.6582278481012658,0.6679454929454929,0.4658124697708083,3,14,LogisticRegression,test,0.39864396168247296
1.0,1.0,1.0,1.0,3,14,RandomForest,train,0.6541002720559659
0.3458997279440342,0.4936708860759494,0.7224723099723099,0.5240191108593814,3,14,RandomForest,test,0.6541002720559659
1.0,1.0,1.0,1.0,3,14,XGBoost,train,0.26866151866151855
0.7313384813384814,0.7215189873417721,0.8915707415707415,0.8108192703734987,3,14,XGBoost,test,0.26866151866151855
1.0,1.0,1.0,1.0,3,14,ExtraTrees,train,0.6997518610421836
0.3002481389578164,0.43037974683544306,0.7495794745794746,0.5572715038733733,3,14,ExtraTrees,test,0.6997518610421836
1.0,1.0,1.0,1.0,3,14,LightGBM,train,0.5181623931623931
0.48183760683760685,0.6582278481012658,0.8796684546684547,0.7020748471195771,3,14,LightGBM,test,0.5181623931623931
0.9987975547147833,0.9990900818926297,1.0,1.0,3,14,CatBoost,train,0.5765753324925611
0.4222222222222222,0.569620253164557,0.8051884301884303,0.6190002667753903,3,14,CatBoost,test,0.5765753324925611
0.8441488511145709,0.8580527752502275,0.964889705828738,0.9081780730916481,4,15,LogisticRegression,train,0.3833645373890808
0.46078431372549017,0.46835443037974683,0.768036768036768,0.6610806982077765,4,15,LogisticRegression,test,0.3833645373890808
1.0,1.0,1.0,1.0,4,15,RandomForest,train,0.04111111111111121
0.9588888888888888,0.9746835443037974,0.9988344988344989,0.9950320512820512,4,15,RandomForest,test,0.04111111111111121
1.0,1.0,1.0,1.0,4,15,XGBoost,train,0.02013605442176869
0.9798639455782313,0.9873417721518988,1.0,0.9999999999999999,4,15,XGBoost,test,0.02013605442176869
